item,itemLabel,coords
http://www.wikidata.org/entity/Q597,Lisbon,Point(-9.139016 38.708042)
http://www.wikidata.org/entity/Q585,Oslo,Point(10.738888888 59.913333333)
http://www.wikidata.org/entity/Q935756,Krynica Morska,Point(19.444444444 54.3825)
http://www.wikidata.org/entity/Q464763,Augustów,Point(22.966666666 53.85)
http://www.wikidata.org/entity/Q658861,Mielec,Point(21.433333333 50.283333333)
http://www.wikidata.org/entity/Q105060,Sosnowiec,Point(19.1946 50.2711)
http://www.wikidata.org/entity/Q105060,Sosnowiec,Point(19.166666666 50.3)
http://www.wikidata.org/entity/Q983720,Działdowo,Point(20.183333333 53.233333333)
http://www.wikidata.org/entity/Q422177,Podkowa Leśna,Point(20.733333333 52.116666666)
http://www.wikidata.org/entity/Q321197,Cieszyn,Point(18.633333333 49.75)
http://www.wikidata.org/entity/Q268,Poznań,Point(16.933611111 52.408333333)
http://www.wikidata.org/entity/Q1524,Athens,Point(23.728055555 37.984166666)
http://www.wikidata.org/entity/Q664895,Uherský Brod,Point(17.647153295 49.02513343)
http://www.wikidata.org/entity/Q1085,Prague,Point(14.421388888 50.0875)
http://www.wikidata.org/entity/Q933480,Luhačovice,Point(17.757479338 49.099822634)
http://www.wikidata.org/entity/Q1085,Prague,Point(14.421388888 50.0875)
http://www.wikidata.org/entity/Q1794,Frankfurt,Point(8.682222222 50.110555555)
http://www.wikidata.org/entity/Q216173,Free City of Danzig,Point(18.66 54.4)
http://www.wikidata.org/entity/Q704300,Free City of Frankfurt,Point(8.68222222 50.11027778)
http://www.wikidata.org/entity/Q102397,Miskolc,Point(20.783333333 48.1)
http://www.wikidata.org/entity/Q1781,Budapest,Point(19.040833333 47.498333333)
http://www.wikidata.org/entity/Q1897,Cagliari,Point(9.116666666 39.216666666)
http://www.wikidata.org/entity/Q2044,Florence,Point(11.254166666 43.771388888)
http://www.wikidata.org/entity/Q72,Zürich,Point(8.541111111 47.374444444)
http://www.wikidata.org/entity/Q1055,Hamburg,Point(10.0 53.55)
http://www.wikidata.org/entity/Q95895695,Free Imperial City of Strasbourg,Point(7.747222222 48.580555555)
http://www.wikidata.org/entity/Q3456410,Republic of Mulhouse,Point(7.339166666 47.748611111)
http://www.wikidata.org/entity/Q1794,Frankfurt,Point(8.682222222 50.110555555)
http://www.wikidata.org/entity/Q117020,Free Imperial City of Nuremberg,Point(11.08333333 49.45)
http://www.wikidata.org/entity/Q6829,Speyer,Point(8.433615 49.3165553)
http://www.wikidata.org/entity/Q97924757,Free City of Colmar,Point(7.355 48.081111111)
http://www.wikidata.org/entity/Q7880,Toulouse,Point(1.443888888 43.604444444)
http://www.wikidata.org/entity/Q3490,Lipetsk,Point(39.6 52.616666666)
http://www.wikidata.org/entity/Q2280,Minsk,Point(27.561837 53.902246)
http://www.wikidata.org/entity/Q1874,Odesa,Point(30.73262 46.47747)
http://www.wikidata.org/entity/Q1754,Stockholm,Point(18.068611111 59.329444444)
http://www.wikidata.org/entity/Q727,Amsterdam,Point(4.893611111 52.372777777)
http://www.wikidata.org/entity/Q385,Gdynia,Point(18.54 54.5175)
http://www.wikidata.org/entity/Q1055,Hamburg,Point(10.0 53.55)
http://www.wikidata.org/entity/Q1010,Maribor,Point(15.633333333 46.55)
http://www.wikidata.org/entity/Q26793,Bergen,Point(5.323333333 60.3925)
http://www.wikidata.org/entity/Q894,Samara,Point(50.116666666 53.183333333)
http://www.wikidata.org/entity/Q656,Saint Petersburg,Point(30.316666666 59.95)
http://www.wikidata.org/entity/Q495,Turin,Point(7.676111111 45.079166666)
http://www.wikidata.org/entity/Q220,Rome,Point(12.482777777 41.893055555)
http://www.wikidata.org/entity/Q216,Vilnius,Point(25.28 54.687222222)
http://www.wikidata.org/entity/Q1842,Luxembourg,Point(6.132777777 49.610555555)
http://www.wikidata.org/entity/Q1764,Reykjavík,Point(-21.89541 64.13548)
